Estado,latitude,longitude,Fotoclubes_Estado
SP,-23.5506507,-46.6333824,
RS,-29.7544405,-51.1516497,
SP,-21.178333,-47.8066671,SP
SP,-21.178333,-47.8066671,SP
SP,-21.178333,-47.8066671,SP
SP,-24.1848847,-46.7921572,
SP,-22.72528,-47.64917,
SP,-22.70111,-46.76444,SP
SP,-23.7080345,-46.5506747,
RS,-30.0324999,-51.2303767,
MA,-2.5634605,-44.2448718,MA
RJ,-22.9110137,-43.2093727,
SP,-22.70111,-46.76444,SP
SP,-23.6195923,-46.5688323,
SP,-21.178333,-47.8066671,SP
SP,-23.6573395,-46.5322504,
DF,-10.3333333,-53.2,
SP,-23.5506507,-46.6333824,SP
SP,-23.031448,-45.5612792,
SP,-23.5506507,-46.6333824,SP
SP,-21.178333,-47.8066671,SP
SP,-23.1989983,-47.2913682,
PB,-7.1215981,-34.882028,
PB,-7.1215981,-34.882028,
RS,-30.0324999,-51.2303767,RS
SP,-23.6573395,-46.5322504,
SP,-21.178333,-47.8066671,SP
